CFisoKop_Flex_ID,CFisoKop_Flex_Exp,CFisoKop_Flex_Sim,CFisoKop_Step_ID,CFisoKop_Step_Exp,CFisoKop_Step_Sim,GisoKop_Aldi_ID,GisoKop_Aldi_Exp,GisoKop_Aldi_Sim,GisoKop_Cload_ID,GisoKop_Cload_Exp,GisoKop_Cload_Sim,VMtisoKop_Flex_ID,VMtisoKop_Flex_Exp,VMtisoKop_Flex_Sim,VMtisoKop_Step_ID,VMtisoKop_Step_Exp,VMtisoKop_Step_Sim,GTisoKop_Aldi_ID,GTisoKop_Aldi_Exp,GTisoKop_Aldi_Sim,GTisoKop_Cload_ID,GTisoKop_Cload_Exp,GTisoKop_Cload_Sim
16,0.1082,0.4091,16,0.1082,0.439,16,0.1082,0.289,16,0.1082,0.3786,16,0.1082,0.5726,16,0.1082,0.5592,16,0.1082,0.4873,16,0.1082,0.4354
17,-0.0247,0.4511,17,-0.0247,0.5403,17,-0.0247,0.2996,17,-0.0247,0.3924,17,-0.0247,0.5769,17,-0.0247,0.5686,17,-0.0247,0.4965,17,-0.0247,0.4282
18,0.0514,0.3983,18,0.0514,0.4877,18,0.0514,0.2735,18,0.0514,0.3675,18,0.0514,0.5066,18,0.0514,0.5054,18,0.0514,0.4379,18,0.0514,0.3761
19,0.0259,0.4307,19,0.0259,0.4715,19,0.0259,0.296,19,0.0259,0.3857,19,0.0259,0.5641,19,0.0259,0.5452,19,0.0259,0.4429,19,0.0259,0.4101
20,0.0286,0.3642,20,0.0286,0.402,20,0.0286,0.2693,20,0.0286,0.3577,20,0.0286,0.4898,20,0.0286,0.4822,20,0.0286,0.3705,20,0.0286,0.355
21,0.0527,0.3732,21,0.0527,0.4403,21,0.0527,0.2732,21,0.0527,0.3579,21,0.0527,0.4353,21,0.0527,0.4595,21,0.0527,0.3466,21,0.0527,0.3199
22,0.0685,0.35,22,0.0685,0.4213,22,0.0685,0.2551,22,0.0685,0.3432,22,0.0685,0.4326,22,0.0685,0.4548,22,0.0685,0.3517,22,0.0685,0.3179
23,0.0217,0.3641,23,0.0217,0.4112,23,0.0217,0.2747,23,0.0217,0.358,23,0.0217,0.4719,23,0.0217,0.4612,23,0.0217,0.3552,23,0.0217,0.3421
24,0.0489,0.3368,24,0.0489,0.3742,24,0.0489,0.2584,24,0.0489,0.344,24,0.0489,0.4449,24,0.0489,0.4304,24,0.0489,0.3226,24,0.0489,0.3207
25,0.0157,0.2935,25,0.0157,0.3339,25,0.0157,0.2434,25,0.0157,0.317,25,0.0157,0.3055,25,0.0157,0.3556,25,0.0157,0.2261,25,0.0157,0.2237
26,0.0654,0.269,26,0.0654,0.2983,26,0.0654,0.2302,26,0.0654,0.3029,26,0.0654,0.3153,26,0.0654,0.3712,26,0.0654,0.2336,26,0.0654,0.2334
27,0.0055,0.3112,27,0.0055,0.3446,27,0.0055,0.255,27,0.0055,0.332,27,0.0055,0.3733,27,0.0055,0.3771,27,0.0055,0.2718,27,0.0055,0.2747
28,-0.0117,0.2727,28,-0.0117,0.2926,28,-0.0117,0.2362,28,-0.0117,0.3102,28,-0.0117,0.3303,28,-0.0117,0.3254,28,-0.0117,0.2322,28,-0.0117,0.2438
29,-0.0661,0.2835,29,-0.0661,0.3188,29,-0.0661,0.2344,29,-0.0661,0.3073,29,-0.0661,0.2695,29,-0.0661,0.3004,29,-0.0661,0.1945,29,-0.0661,0.1977
30,-0.0671,0.2482,30,-0.0671,0.2687,30,-0.0671,0.2186,30,-0.0671,0.2886,30,-0.0671,0.2406,30,-0.0671,0.2813,30,-0.0671,0.167,30,-0.0671,0.1789
31,-0.0464,0.2823,31,-0.0464,0.3104,31,-0.0464,0.2378,31,-0.0464,0.3102,31,-0.0464,0.2359,31,-0.0464,0.2293,31,-0.0464,0.165,31,-0.0464,0.1756
32,-0.0308,0.2387,32,-0.0308,0.2584,32,-0.0308,0.2167,32,-0.0308,0.2852,32,-0.0308,0.2273,32,-0.0308,0.2349,32,-0.0308,0.1565,32,-0.0308,0.1747
33,0.0806,0.0866,33,0.0806,0.1101,33,0.0806,0.0753,33,0.0806,0.0946,33,0.0806,0.1202,33,0.0806,0.1511,33,0.0806,0.0807,33,0.0806,0.089
34,-0.0263,0.0566,34,-0.0263,0.0818,34,-0.0263,0.0543,34,-0.0263,0.0675,34,-0.0263,0.1197,34,-0.0263,0.1456,34,-0.0263,0.0796,34,-0.0263,0.0905
35,0.0421,0.0775,35,0.0421,0.106,35,0.0421,0.069,35,0.0421,0.0902,35,0.0421,0.0796,35,0.0421,0.0887,35,0.0421,0.0532,35,0.0421,0.0601
36,-0.0514,0.1079,36,-0.0514,0.1448,36,-0.0514,0.1077,36,-0.0514,0.1429,36,-0.0514,0.1249,36,-0.0514,0.1396,36,-0.0514,0.0863,36,-0.0514,0.0983
37,0.0905,0.0067,37,0.0905,0.0434,37,0.0905,0.007,37,0.0905,0.0068,37,0.0905,0.0392,37,0.0905,0.0911,37,0.0905,0.0265,37,0.0905,0.0307
38,0.0669,0.0109,38,0.0669,0.0281,38,0.0669,0.0119,38,0.0669,0.0119,38,0.0669,0.0693,38,0.0669,0.0899,38,0.0669,0.0448,38,0.0669,0.0524
39,0.0165,0.0064,39,0.0165,0.0078,39,0.0165,0.0064,39,0.0165,0.0064,39,0.0165,0.0112,39,0.0165,0.0107,39,0.0165,0.0097,39,0.0165,0.0102
40,-0.1043,0.0082,40,-0.1043,0.0062,40,-0.1043,0.009,40,-0.1043,0.0097,40,-0.1043,0.0208,40,-0.1043,0.0118,40,-0.1043,0.0167,40,-0.1043,0.0185
46,0.4672,0.7775,46,0.4672,0.4518,46,0.4672,0.8082,46,0.4672,0.6264,46,0.4672,0.764,46,0.4672,0.5169,46,0.4672,0.7082,46,0.4672,0.5832
47,0.3247,0.7384,47,0.3247,0.4106,47,0.3247,0.7139,47,0.3247,0.5747,47,0.3247,0.7271,47,0.3247,0.4234,47,0.3247,0.6309,47,0.3247,0.5278
50,0.4518,0.7282,50,0.4518,0.5514,50,0.4518,0.7743,50,0.4518,0.5992,50,0.4518,0.7242,50,0.4518,0.5508,50,0.4518,0.7863,50,0.4518,0.5973
51,0.4532,0.6914,51,0.4532,0.531,51,0.4532,0.6724,51,0.4532,0.5511,51,0.4532,0.6881,51,0.4532,0.5321,51,0.4532,0.6958,51,0.4532,0.5543
53,0.1121,0.3577,53,0.1121,0.4065,53,0.1121,0.2862,53,0.1121,0.3752,53,0.1121,0.598,53,0.1121,0.4405,53,0.1121,0.5755,53,0.1121,0.4742
54,0.1296,0.411,54,0.1296,0.3909,54,0.1296,0.3448,54,0.1296,0.4072,54,0.1296,0.6073,54,0.1296,0.4282,54,0.1296,0.5435,54,0.1296,0.4626
55,0.1352,0.4235,55,0.1352,0.424,55,0.1352,0.3451,55,0.1352,0.4048,55,0.1352,0.6482,55,0.1352,0.523,55,0.1352,0.5949,55,0.1352,0.5009
56,0.1264,0.4338,56,0.1264,0.4018,56,0.1264,0.3474,56,0.1264,0.4121,56,0.1264,0.6361,56,0.1264,0.5102,56,0.1264,0.5575,56,0.1264,0.4794
57,0.0658,0.3202,57,0.0658,0.3571,57,0.0658,0.2544,57,0.0658,0.3471,57,0.0658,0.4818,57,0.0658,0.4072,57,0.0658,0.4335,57,0.0658,0.3782
58,0.0538,0.3077,58,0.0538,0.3203,58,0.0538,0.2595,58,0.0538,0.3493,58,0.0538,0.4763,58,0.0538,0.3894,58,0.0538,0.4127,58,0.0538,0.3736
59,0.0294,0.3234,59,0.0294,0.326,59,0.0294,0.2574,59,0.0294,0.3475,59,0.0294,0.4822,59,0.0294,0.4544,59,0.0294,0.3934,59,0.0294,0.3741
60,0.0588,0.3115,60,0.0588,0.2945,60,0.0588,0.261,60,0.0588,0.3469,60,0.0588,0.4746,60,0.0588,0.4324,60,0.0588,0.3738,60,0.0588,0.3675
61,0.0634,0.2832,61,0.0634,0.2959,61,0.0634,0.2325,61,0.0634,0.3241,61,0.0634,0.3987,61,0.0634,0.3645,61,0.0634,0.3236,61,0.0634,0.307
62,0.0776,0.2518,62,0.0776,0.2317,62,0.0776,0.2302,62,0.0776,0.3164,62,0.0776,0.3687,62,0.0776,0.3361,62,0.0776,0.2852,62,0.0776,0.2907
63,0.0846,0.2776,63,0.0846,0.2719,63,0.0846,0.2355,63,0.0846,0.3224,63,0.0846,0.3948,63,0.0846,0.3622,63,0.0846,0.2863,63,0.0846,0.2989
64,0.0956,0.246,64,0.0956,0.2106,64,0.0956,0.233,64,0.0956,0.3143,64,0.0956,0.3766,64,0.0956,0.3371,64,0.0956,0.2711,64,0.0956,0.2966
65,0.0367,0.2038,65,0.0367,0.1835,65,0.0367,0.194,65,0.0367,0.2659,65,0.0367,0.2444,65,0.0367,0.2371,65,0.0367,0.1655,65,0.0367,0.1825
66,0.049,0.2322,66,0.049,0.2053,66,0.049,0.214,66,0.049,0.298,66,0.049,0.3054,66,0.049,0.2882,66,0.049,0.2273,66,0.049,0.2399
67,0.0349,0.2228,67,0.0349,0.1985,67,0.0349,0.2077,67,0.0349,0.2845,67,0.0349,0.2625,67,0.0349,0.2271,67,0.0349,0.1689,67,0.0349,0.1958
68,0.0202,0.2133,68,0.0202,0.1748,68,0.0202,0.2114,68,0.0202,0.2877,68,0.0202,0.306,68,0.0202,0.259,68,0.0202,0.213,68,0.0202,0.2408
69,0.0438,0.1686,69,0.0438,0.1361,69,0.0438,0.1757,69,0.0438,0.2374,69,0.0438,0.1998,69,0.0438,0.1938,69,0.0438,0.13,69,0.0438,0.152
70,0.0735,0.1523,70,0.0735,0.1036,70,0.0735,0.1633,70,0.0735,0.2237,70,0.0735,0.1734,70,0.0735,0.1505,70,0.0735,0.1124,70,0.0735,0.1358
71,0.0189,0.1819,71,0.0189,0.1541,71,0.0189,0.1873,71,0.0189,0.2523,71,0.0189,0.2116,71,0.0189,0.1787,71,0.0189,0.134,71,0.0189,0.1601
72,0.0683,0.1711,72,0.0683,0.1263,72,0.0683,0.1837,72,0.0683,0.2487,72,0.0683,0.2041,72,0.0683,0.1399,72,0.0683,0.1298,72,0.0683,0.158
73,-0.0217,0.1596,73,-0.0217,0.124,73,-0.0217,0.1649,73,-0.0217,0.2267,73,-0.0217,0.1774,73,-0.0217,0.1713,73,-0.0217,0.113,73,-0.0217,0.1362
74,0.0321,0.148,74,0.0321,0.0973,74,0.0321,0.1584,74,0.0321,0.219,74,0.0321,0.1656,74,0.0321,0.1403,74,0.0321,0.1046,74,0.0321,0.1289
75,-0.0181,0.1684,75,-0.0181,0.1387,75,-0.0181,0.1754,75,-0.0181,0.2394,75,-0.0181,0.1802,75,-0.0181,0.1427,75,-0.0181,0.1146,75,-0.0181,0.1385
76,-0.0017,0.1589,76,-0.0017,0.1141,76,-0.0017,0.1706,76,-0.0017,0.2344,76,-0.0017,0.1713,76,-0.0017,0.1175,76,-0.0017,0.1091,76,-0.0017,0.1333
77,0.0304,0.1184,77,0.0304,0.098,77,0.0304,0.1244,77,0.0304,0.1686,77,0.0304,0.1374,77,0.0304,0.1418,77,0.0304,0.089,77,0.0304,0.1086
78,-0.0161,0.0794,78,-0.0161,0.0657,78,-0.0161,0.0846,78,-0.0161,0.1148,78,-0.0161,0.0885,78,-0.0161,0.0969,78,-0.0161,0.059,78,-0.0161,0.0719
79,0.0021,0.0923,79,0.0021,0.0851,79,0.0021,0.0975,79,0.0021,0.1314,79,0.0021,0.1071,79,0.0021,0.0943,79,0.0021,0.0733,79,0.0021,0.0871
80,0.0089,0.0556,80,0.0089,0.0517,80,0.0089,0.0588,80,0.0089,0.0768,80,0.0089,0.0822,80,0.0089,0.0667,80,0.0089,0.0586,80,0.0089,0.0684
81,0.0097,0.0089,81,0.0097,0.0477,81,0.0097,0.0099,81,0.0097,0.0091,81,0.0097,0.059,81,0.0097,0.0868,81,0.0097,0.04,81,0.0097,0.0497
82,-0.0132,0.0073,82,-0.0132,0.0366,82,-0.0132,0.008,82,-0.0132,0.0074,82,-0.0132,0.0276,82,-0.0132,0.0591,82,-0.0132,0.0221,82,-0.0132,0.0259
83,0.0024,0.0105,83,0.0024,0.0267,83,0.0024,0.0107,83,0.0024,0.0107,83,0.0024,0.0269,83,0.0024,0.0439,83,0.0024,0.0216,83,0.0024,0.0237
84,0.0129,0.0072,84,0.0129,0.0193,84,0.0129,0.0075,84,0.0129,0.0075,84,0.0129,0.0134,84,0.0129,0.027,84,0.0129,0.0123,84,0.0129,0.0131
90,0.6154,0.7328,90,0.6154,0.7648,90,0.6154,0.6104,90,0.6154,0.521,90,0.6154,0.7382,90,0.6154,0.8084,90,0.6154,0.6506,90,0.6154,0.5226
91,0.5866,0.7843,91,0.5866,0.7542,91,0.5866,0.7525,91,0.5866,0.5853,91,0.5866,0.778,91,0.5866,0.7741,91,0.5866,0.7813,91,0.5866,0.5856
94,0.7931,0.6927,94,0.7931,0.8039,94,0.7931,0.5703,94,0.7931,0.501,94,0.7931,0.6993,94,0.7931,0.8662,94,0.7931,0.5988,94,0.7931,0.4959
95,0.7819,0.7348,95,0.7819,0.8194,95,0.7819,0.6896,95,0.7819,0.5507,95,0.7819,0.7272,95,0.7819,0.8524,95,0.7819,0.6896,95,0.7819,0.5437
97,0.1914,0.5411,97,0.1914,0.5813,97,0.1914,0.3927,97,0.1914,0.4574,97,0.1914,0.7032,97,0.1914,0.7687,97,0.1914,0.5361,97,0.1914,0.4842
98,0.174,0.5777,98,0.174,0.6066,98,0.174,0.4178,98,0.174,0.469,98,0.174,0.7293,98,0.174,0.7555,98,0.174,0.5967,98,0.174,0.5145
99,0.2776,0.5334,99,0.2776,0.5224,99,0.2776,0.3736,99,0.2776,0.4465,99,0.2776,0.6784,99,0.2776,0.7801,99,0.2776,0.5141,99,0.2776,0.4758
100,0.2471,0.5559,100,0.2471,0.5522,100,0.2471,0.3723,100,0.2471,0.4517,100,0.2471,0.7061,100,0.2471,0.7961,100,0.2471,0.5693,100,0.2471,0.5023
101,0.0167,0.5152,101,0.0167,0.5478,101,0.0167,0.368,101,0.0167,0.4433,101,0.0167,0.6728,101,0.0167,0.7376,101,0.0167,0.5028,101,0.0167,0.466
102,0.0409,0.5298,102,0.0409,0.5756,102,0.0409,0.3621,102,0.0409,0.4435,102,0.0409,0.6943,102,0.0409,0.7437,102,0.0409,0.5236,102,0.0409,0.4814
103,0.0657,0.5217,103,0.0657,0.5055,103,0.0657,0.3634,103,0.0657,0.4394,103,0.0657,0.6678,103,0.0657,0.7321,103,0.0657,0.4866,103,0.0657,0.466
104,0.0531,0.5412,104,0.0531,0.533,104,0.0531,0.3612,104,0.0531,0.4424,104,0.0531,0.692,104,0.0531,0.7509,104,0.0531,0.5129,104,0.0531,0.4828
105,0.0465,0.4974,105,0.0465,0.5248,105,0.0465,0.3546,105,0.0465,0.4303,105,0.0465,0.6232,105,0.0465,0.6719,105,0.0465,0.4711,105,0.0465,0.443
106,0.0654,0.5146,106,0.0654,0.5581,106,0.0654,0.3515,106,0.0654,0.4327,106,0.0654,0.6536,106,0.0654,0.7051,106,0.0654,0.4973,106,0.0654,0.4592
107,0.0013,0.5001,107,0.0013,0.4884,107,0.0013,0.3531,107,0.0013,0.4291,107,0.0013,0.6446,107,0.0013,0.6769,107,0.0013,0.4709,107,0.0013,0.4539
108,0.0748,0.5135,108,0.0748,0.5174,108,0.0748,0.3498,108,0.0748,0.4306,108,0.0748,0.6704,108,0.0748,0.7054,108,0.0748,0.4927,108,0.0748,0.4685
109,0.1045,0.4856,109,0.1045,0.512,109,0.1045,0.3458,109,0.1045,0.4216,109,0.1045,0.601,109,0.1045,0.649,109,0.1045,0.456,109,0.1045,0.4301
110,0.0135,0.4719,110,0.0135,0.5125,110,0.0135,0.333,110,0.0135,0.4124,110,0.0135,0.5541,110,0.0135,0.5799,110,0.0135,0.4342,110,0.0135,0.408
111,0.0373,0.4917,111,0.0373,0.4865,111,0.0373,0.3483,111,0.0373,0.4246,111,0.0373,0.6337,111,0.0373,0.6629,111,0.0373,0.4663,111,0.0373,0.4487
112,0.024,0.484,112,0.024,0.4963,112,0.024,0.3403,112,0.024,0.4208,112,0.024,0.626,112,0.024,0.627,112,0.024,0.4699,112,0.024,0.4494
113,0.015,0.4698,113,0.015,0.5027,113,0.015,0.334,113,0.015,0.4095,113,0.015,0.5484,113,0.015,0.5953,113,0.015,0.4272,113,0.015,0.4018
114,0.0524,0.4592,114,0.0524,0.5059,114,0.0524,0.3215,114,0.0524,0.4008,114,0.0524,0.5227,114,0.0524,0.5535,114,0.0524,0.4124,114,0.0524,0.3856
115,0.0276,0.4741,115,0.0276,0.4733,115,0.0276,0.3379,115,0.0276,0.4139,115,0.0276,0.5536,115,0.0276,0.574,115,0.0276,0.4199,115,0.0276,0.407
116,0.0425,0.473,116,0.0425,0.4877,116,0.0425,0.3312,116,0.0425,0.4118,116,0.0425,0.5683,116,0.0425,0.5813,116,0.0425,0.4336,116,0.0425,0.4181
117,0.0458,0.4384,117,0.0458,0.4782,117,0.0458,0.3137,117,0.0458,0.3875,117,0.0458,0.4559,117,0.0458,0.5076,117,0.0458,0.3654,117,0.0458,0.3437
118,0.0126,0.4167,118,0.0126,0.4661,118,0.0126,0.2969,118,0.0126,0.3719,118,0.0126,0.4311,118,0.0126,0.4735,118,0.0126,0.3415,118,0.0126,0.3201
119,0.035,0.3464,119,0.035,0.3695,119,0.035,0.2661,119,0.035,0.3321,119,0.035,0.3355,119,0.035,0.3514,119,0.035,0.2605,119,0.035,0.2559
120,0.0134,0.3377,120,0.0134,0.3696,120,0.0134,0.256,120,0.0134,0.3211,120,0.0134,0.3073,120,0.0134,0.3344,120,0.0134,0.2368,120,0.0134,0.2326
121,0.0108,0.2832,121,0.0108,0.3241,121,0.0108,0.2242,121,0.0108,0.2821,121,0.0108,0.2068,121,0.0108,0.2563,121,0.0108,0.1683,121,0.0108,0.1612
122,0.0043,0.2637,122,0.0043,0.3151,122,0.0043,0.2247,122,0.0043,0.2808,122,0.0043,0.2299,122,0.0043,0.2924,122,0.0043,0.1814,122,0.0043,0.1781
123,0.005,0.127,123,0.005,0.1621,123,0.005,0.1112,123,0.005,0.1401,123,0.005,0.1027,123,0.005,0.1211,123,0.005,0.0798,123,0.005,0.0798
124,0.0222,0.1703,124,0.0222,0.2097,124,0.0222,0.1551,124,0.0222,0.1946,124,0.0222,0.0608,124,0.0222,0.0794,124,0.0222,0.0512,124,0.0222,0.0522
125,0.0427,0.0066,125,0.0427,0.0389,125,0.0427,0.0058,125,0.0427,0.0077,125,0.0427,0.0212,125,0.0427,0.0595,125,0.0427,0.0171,125,0.0427,0.0174
126,-0.0084,0.0039,126,-0.0084,0.0317,126,-0.0084,0.004,126,-0.0084,0.0041,126,-0.0084,0.0182,126,-0.0084,0.0442,126,-0.0084,0.0156,126,-0.0084,0.0158
127,-0.0091,0.0029,127,-0.0091,0.0224,127,-0.0091,0.0029,127,-0.0091,0.0029,127,-0.0091,0.0059,127,-0.0091,0.0276,127,-0.0091,0.0059,127,-0.0091,0.0059
128,-0.0422,0.0033,128,-0.0422,0.0183,128,-0.0422,0.0033,128,-0.0422,0.0033,128,-0.0422,0.007,128,-0.0422,0.0183,128,-0.0422,0.0071,128,-0.0422,0.0071
134,0.5497,0.6001,134,0.5497,0.6728,134,0.5497,0.4427,134,0.5497,0.4463,134,0.5497,0.652,134,0.5497,0.7336,134,0.5497,0.4963,134,0.5497,0.444
135,0.6509,0.7021,135,0.6509,0.7731,135,0.6509,0.5403,135,0.6509,0.4868,135,0.6509,0.7064,135,0.6509,0.8086,135,0.6509,0.5836,135,0.6509,0.4887
138,0.665,0.5457,138,0.665,0.5893,138,0.665,0.3946,138,0.665,0.4289,138,0.665,0.607,138,0.665,0.7129,138,0.665,0.4504,138,0.665,0.4236
139,0.7722,0.6633,139,0.7722,0.7789,139,0.7722,0.5102,139,0.7722,0.4706,139,0.7722,0.6683,139,0.7722,0.8315,139,0.7722,0.5461,139,0.7722,0.4728
141,0.1823,0.4655,141,0.1823,0.462,141,0.1823,0.3531,141,0.1823,0.4228,141,0.1823,0.5736,141,0.1823,0.6503,141,0.1823,0.4247,141,0.1823,0.4108
142,0.1737,0.5141,142,0.1737,0.5445,142,0.1737,0.3888,142,0.1737,0.4479,142,0.1737,0.6578,142,0.1737,0.73,142,0.1737,0.4942,142,0.1737,0.4551
143,0.2178,0.4624,143,0.2178,0.4289,143,0.2178,0.3451,143,0.2178,0.4144,143,0.2178,0.5611,143,0.2178,0.6191,143,0.2178,0.4086,143,0.2178,0.4051
144,0.2803,0.4995,144,0.2803,0.4754,144,0.2803,0.36,144,0.2803,0.4321,144,0.2803,0.6298,144,0.2803,0.7201,144,0.2803,0.4638,144,0.2803,0.4449
145,0.0381,0.4572,145,0.0381,0.4499,145,0.0381,0.3442,145,0.0381,0.414,145,0.0381,0.5499,145,0.0381,0.5967,145,0.0381,0.4065,145,0.0381,0.3964
146,0.0416,0.4905,146,0.0416,0.5065,146,0.0416,0.3627,146,0.0416,0.4345,146,0.0416,0.6182,146,0.0416,0.6746,146,0.0416,0.4644,146,0.0416,0.4396
147,0.0525,0.4556,147,0.0525,0.4197,147,0.0525,0.3391,147,0.0525,0.4083,147,0.0525,0.5495,147,0.0525,0.5763,147,0.0525,0.3999,147,0.0525,0.3969
148,0.0262,0.4892,148,0.0262,0.4631,148,0.0262,0.3538,148,0.0262,0.4261,148,0.0262,0.6112,148,0.0262,0.6492,148,0.0262,0.4457,148,0.0262,0.4347
149,0.0395,0.4518,149,0.0395,0.4421,149,0.0395,0.3376,149,0.0395,0.4072,149,0.0395,0.5363,149,0.0395,0.5819,149,0.0395,0.3946,149,0.0395,0.3857
150,0.0664,0.4811,150,0.0664,0.4955,150,0.0664,0.3521,150,0.0664,0.4247,150,0.0664,0.5926,150,0.0664,0.6508,150,0.0664,0.4445,150,0.0664,0.4237
151,0.0492,0.4487,151,0.0492,0.411,151,0.0492,0.3346,151,0.0492,0.4035,151,0.0492,0.5401,151,0.0492,0.5632,151,0.0492,0.3926,151,0.0492,0.3901
152,0.0382,0.4824,152,0.0382,0.4595,152,0.0382,0.35,152,0.0382,0.4223,152,0.0382,0.6067,152,0.0382,0.6412,152,0.0382,0.4428,152,0.0382,0.4314
153,0.0547,0.4471,153,0.0547,0.4361,153,0.0547,0.3326,153,0.0547,0.4021,153,0.0547,0.5305,153,0.0547,0.5735,153,0.0547,0.3895,153,0.0547,0.3807
154,0.0957,0.475,154,0.0957,0.4879,154,0.0957,0.3446,154,0.0957,0.4172,154,0.0957,0.5831,154,0.0957,0.6401,154,0.0957,0.4347,154,0.0957,0.4142
155,0.0205,0.4467,155,0.0205,0.4116,155,0.0205,0.3321,155,0.0205,0.4013,155,0.0205,0.5412,155,0.0205,0.5648,155,0.0205,0.3933,155,0.0205,0.3897
156,0.0545,0.4788,156,0.0545,0.4572,156,0.0545,0.3467,156,0.0545,0.4194,156,0.0545,0.6037,156,0.0545,0.633,156,0.0545,0.4417,156,0.0545,0.4303
157,0.0569,0.431,157,0.0569,0.4252,157,0.0569,0.3195,157,0.0569,0.3886,157,0.0569,0.4776,157,0.0569,0.5162,157,0.0569,0.3555,157,0.0569,0.3477
158,0.051,0.454,158,0.051,0.4701,158,0.051,0.3308,158,0.051,0.4026,158,0.051,0.5214,158,0.051,0.5602,158,0.051,0.4005,158,0.051,0.3824
159,0.0245,0.4309,159,0.0245,0.3987,159,0.0245,0.3217,159,0.0245,0.3905,159,0.0245,0.481,159,0.0245,0.4905,159,0.0245,0.3562,159,0.0245,0.3558
160,0.0189,0.4627,160,0.0189,0.446,160,0.0189,0.3371,160,0.0189,0.4095,160,0.0189,0.5219,160,0.0189,0.5376,160,0.0189,0.3928,160,0.0189,0.3845
161,0.0313,0.3602,161,0.0313,0.37,161,0.0313,0.2745,161,0.0313,0.3388,161,0.0313,0.3391,161,0.0313,0.3861,161,0.0313,0.2616,161,0.0313,0.258
162,-0.0046,0.3842,162,-0.0046,0.4101,162,-0.0046,0.2877,162,-0.0046,0.3555,162,-0.0046,0.3703,162,-0.0046,0.41,162,-0.0046,0.2951,162,-0.0046,0.2854
163,0.015,0.3418,163,0.015,0.3188,163,0.015,0.2626,163,0.015,0.3254,163,0.015,0.2847,163,0.015,0.2831,163,0.015,0.2128,163,0.015,0.2156
164,0.0229,0.3534,164,0.0229,0.3599,164,0.0229,0.2734,164,0.0229,0.3398,164,0.0229,0.3534,164,0.0229,0.3586,164,0.0229,0.2679,164,0.0229,0.2662
165,0.0338,0.2313,165,0.0338,0.2561,165,0.0338,0.1794,165,0.0338,0.2228,165,0.0338,0.1937,165,0.0338,0.2453,165,0.0338,0.1575,165,0.0338,0.1568
166,0.0621,0.3039,166,0.0621,0.3353,166,0.0621,0.2356,166,0.0621,0.2965,166,0.0621,0.2136,166,0.0621,0.2603,166,0.0621,0.1714,166,0.0621,0.1716
