CFisoKop_Flex_ID,CFisoKop_Flex_Exp,CFisoKop_Flex_Sim,CFisoKop_Step_ID,CFisoKop_Step_Exp,CFisoKop_Step_Sim,GisoKop_Aldi_ID,GisoKop_Aldi_Exp,GisoKop_Aldi_Sim,GisoKop_Cload_ID,GisoKop_Cload_Exp,GisoKop_Cload_Sim,VMtisoKop_Flex_ID,VMtisoKop_Flex_Exp,VMtisoKop_Flex_Sim,VMtisoKop_Step_ID,VMtisoKop_Step_Exp,VMtisoKop_Step_Sim,GTisoKop_Aldi_ID,GTisoKop_Aldi_Exp,GTisoKop_Aldi_Sim,GTisoKop_Cload_ID,GTisoKop_Cload_Exp,GTisoKop_Cload_Sim
2,0.3973,0.8273,2,0.3973,0.5762,2,0.3973,1.0182,2,0.3973,0.7262,2,0.3973,0.8242,2,0.3973,0.5578,2,0.3973,0.991,2,0.3973,0.7303
3,0.4058,0.8322,3,0.4058,0.5504,3,0.4058,1.0014,3,0.4058,0.7238,3,0.4058,0.8309,3,0.4058,0.5656,3,0.4058,0.9754,3,0.4058,0.728
6,0.5779,0.7852,6,0.5779,0.6516,6,0.5779,0.9653,6,0.5779,0.6828,6,0.5779,0.7802,6,0.5779,0.6537,6,0.5779,0.991,6,0.5779,0.6897
7,0.5399,0.7719,7,0.5399,0.6465,7,0.5399,0.9357,7,0.5399,0.6654,7,0.5399,0.7688,7,0.5399,0.6598,7,0.5399,0.9574,7,0.5399,0.6691
9,0.2495,0.5297,9,0.2495,0.5853,9,0.2495,0.3873,9,0.2495,0.4448,9,0.2495,0.6831,9,0.2495,0.5873,9,0.2495,0.6292,9,0.2495,0.5297
10,0.2818,0.4894,10,0.2818,0.5514,10,0.2818,0.3673,10,0.2818,0.4247,10,0.2818,0.6759,10,0.2818,0.5303,10,0.2818,0.6718,10,0.2818,0.544
11,0.2776,0.6317,11,0.2776,0.6049,11,0.2776,0.5251,11,0.2776,0.5134,11,0.2776,0.7468,11,0.2776,0.6547,11,0.2776,0.7395,11,0.2776,0.6039
12,0.1264,0.6982,12,0.1264,0.6134,12,0.1264,0.6916,12,0.1264,0.5818,12,0.1264,0.7604,12,0.1264,0.6548,12,0.1264,0.8317,12,0.1264,0.6423
13,0.0022,0.4779,13,0.0022,0.5626,13,0.0022,0.3114,13,0.0022,0.4054,13,0.0022,0.6125,13,0.0022,0.583,13,0.0022,0.5386,13,0.0022,0.4618
14,0.0627,0.4244,14,0.0627,0.523,14,0.0627,0.2888,14,0.0627,0.3819,14,0.0627,0.5426,14,0.0627,0.5157,14,0.0627,0.4934,14,0.0627,0.4134
15,0.0799,0.5188,15,0.0799,0.5412,15,0.0799,0.3309,15,0.0799,0.4248,15,0.0799,0.6587,15,0.0799,0.6252,15,0.0799,0.5675,15,0.0799,0.5003
