type,method,difference
CF,F,0.0455
CF,F,-0.107
CF,F,-0.1106
CF,F,-0.2704
CF,F,-0.262
CF,F,0.1708
CF,F,0.2151
CF,F,0.1273
CF,F,0.0797
CF,F,0.3061
CF,F,0.3211
CF,F,0.2866
CF,F,0.3276
CF,F,0.2981
CF,F,0.2857
CF,F,0.2854
CF,F,0.3118
CF,F,0.2779
CF,F,0.2489
CF,F,0.3116
CF,F,0.2922
CF,F,0.2626
CF,F,0.2798
CF,F,0.2972
CF,F,0.3182
CF,F,0.2432
CF,F,0.2923
CF,F,0.2476
CF,F,0.2505
CF,F,0.1456
CF,F,0.1735
CF,F,0.0149
CF,F,0.0977
CF,F,-0.0548
CF,F,-0.039
CF,F,0.0071
CF,F,0.032
CF,F,0.3359
CF,F,0.5229
CF,F,0.0615
CF,F,0.263
CF,F,0.1806
CF,F,0.0369
CF,F,0.1503
CF,F,0.1108
CF,F,0.3611
CF,F,0.2639
CF,F,0.3591
CF,F,0.249
CF,F,0.2451
CF,F,0.2601
CF,F,0.2732
CF,F,0.3058
CF,F,0.3339
CF,F,0.2657
CF,F,0.334
CF,F,0.3438
CF,F,0.2875
CF,F,0.2817
CF,F,0.2682
CF,F,0.2826
CF,F,0.2907
CF,F,0.2285
CF,F,0.2371
CF,F,0.2499
CF,F,0.1223
CF,F,0.0751
CF,F,0.1183
CF,F,0.1445
CF,F,-0.053
CF,F,0.1147
CF,F,0.0215
CF,F,0.0611
CF,F,0.577
CF,F,0.5309
CF,F,0.466
CF,F,0.3928
CF,F,0.2567
CF,F,0.2539
CF,F,0.3002
CF,F,0.2539
CF,F,0.2197
CF,F,0.2421
CF,F,0.2496
CF,F,0.1992
CF,F,0.1612
CF,F,0.1796
CF,F,0.2306
CF,F,0.1697
CF,F,0.2571
CF,F,0.1486
CF,F,0.2011
CF,F,0.177
CF,F,0.1752
CF,F,0.1293
CF,F,0.1434
CF,F,0.1777
CF,F,0.1069
CF,F,0.1692
CF,F,0.1996
CF,F,0.1396
CF,F,0.0785
CF,F,0.0698
CF,F,0.0779
CF,F,0.1337
CF,F,0.099
CF,F,0.0455
CF,F,-0.051
CF,F,0.0633
CF,F,0.1678
CF,F,0.1939
CF,F,0.1923
CF,F,0.2538
CF,F,0.1345
CF,F,0.1705
CF,F,0.1838
CF,F,0.1983
CF,F,0.2226
CF,F,0.2627
CF,F,0.2776
CF,F,0.2016
CF,F,0.1738
CF,F,0.2265
CF,F,0.1204
CF,F,0.1977
CF,F,0.2564
CF,F,0.2113
CF,F,0.3051
CF,F,0.2505
CF,F,0.139
CF,F,0.2115
CF,F,0.1858
CF,F,0.2466
CF,F,0.2558
CF,F,0.187
CF,F,0.2851
CF,F,0.0883
CF,F,0.0032
CF,F,0.1021
CF,F,-0.0023
CF,F,0.0234
CF,F,0.0089
CF,F,0.0711
CF,F,0.0464
CF,F,0.1382
CF,F,-0.1891
CF,F,-0.2491
CF,F,0.053
CF,F,0.0046
CF,F,0.3697
CF,F,0.2411
CF,F,0.3296
CF,F,0.3198
CF,F,0.3561
CF,F,0.2749
CF,F,0.2886
CF,F,0.3127
CF,F,0.2323
CF,F,0.222
CF,F,0.2435
CF,F,0.2261
CF,F,0.2872
CF,F,0.3595
CF,F,0.3257
CF,F,0.5315
CF,F,0.2846
CF,F,0.1375
CF,F,0.1966
CF,F,0.2307
CF,F,0.3055
CF,F,0.1996
CF,F,0.2731
CF,F,0.3925
CF,F,0.0983
CF,F,0.09
CF,F,0.1095
CF,F,0.0436
CF,F,0.2604
CF,F,0.1258
CF,F,0.0181
CF,F,0.1864
CF,F,-0.0298
CF,F,0.1329
CF,F,0.1233
CF,F,0.1745
CF,F,0.1398
CF,F,0.1425
CF,F,0.1711
CF,F,0.1743
CF,F,0.2938
CF,F,0.2099
CF,F,0.31
CF,F,0.2453
CF,F,0.2088
CF,F,0.2536
CF,F,0.2009
CF,F,0.057
CF,F,0.22
CF,F,0.1862
CF,F,0.2175
CF,F,0.2267
CF,F,0.2654
CF,F,0.1676
CF,F,0.2086
CF,F,0.1705
CF,F,0.2572
CF,F,0.2347
CF,F,0.3146
CF,F,0.1981
CF,F,0.0974
CF,F,0.1233
CF,F,0.1127
CF,F,0.1939
CF,F,0.1578
CF,F,0.2789
CF,F,0.0868
CF,F,0.1269
CF,F,0.1309
CF,F,0.0201
CF,F,0.2869
CF,F,0.2268
CF,F,0.2379
CF,F,0.2082
CF,F,0.2593
CF,F,0.2079
CF,F,0.3061
CF,F,0.3195
CF,F,0.3179
CF,F,0.3319
CF,F,0.251
CF,F,0.32
CF,F,0.2919
CF,F,0.3131
CF,F,0.2901
CF,F,0.306
CF,F,0.2962
CF,F,0.3234
CF,F,0.2581
CF,F,0.2627
CF,F,0.2265
CF,F,0.2735
CF,F,0.1856
CF,F,0.1946
CF,F,0.1382
CF,F,0.2483
CF,F,0.0982
CF,F,0.1317
CF,F,0.1125
CF,F,0.0848
CF,F,0.0842
CF,F,0.1637
CF,F,0.107
CF,F,0.1069
CF,F,0.1888
CF,F,0.1932
CF,F,0.2354
CF,F,0.2744
CF,F,0.2008
CF,F,0.2433
CF,F,0.2244
CF,F,0.289
CF,F,0.3211
CF,F,0.2721
CF,F,0.2699
CF,F,0.3157
CF,F,0.2335
CF,F,0.2353
CF,F,0.2124
CF,F,0.2429
CF,F,0.2278
CF,F,0.3398
CF,F,0.2822
CF,F,0.2799
CF,F,0.2308
CF,F,0.237
CF,F,0.27
CF,F,0.2277
CF,F,0.1845
CF,F,0.1497
CF,F,0.1133
CF,F,0.1764
CF,F,0.0779
CF,F,0.1081
CF,F,0.0313
CF,F,0.0791
CF,F,0.0625
CF,F,0.0502
CF,F,0.0542
CF,F,0.1063
CF,F,-0.0606
CF,F,-0.017
CF,F,0.2902
CF,F,0.1385
CF,F,0.3099
CF,F,0.2333
CF,F,0.3517
CF,F,0.3002
CF,F,0.3914
CF,F,0.2901
CF,F,0.343
CF,F,0.2616
CF,F,0.2876
CF,F,0.2684
CF,F,0.2926
CF,F,0.2843
CF,F,0.3559
CF,F,0.4207
CF,F,0.2868
CF,F,0.2032
CF,F,0.3136
CF,F,0.2305
CF,F,0.248
CF,F,0.2056
CF,F,0.343
CF,F,0.4017
CF,F,0.3686
CF,F,0.352
CF,F,0.1216
CF,F,0.1814
CF,F,0.1127
CF,F,0.1405
CF,F,0.0909
CF,F,0.1121
CF,F,0.1204
CF,F,0.1378
CF,F,-0.1907
CF,F,-0.2544
CF,F,-0.0629
CF,F,-0.0205
CF,F,0.1918
CF,F,0.226
CF,F,0.1919
CF,F,0.2237
CF,F,0.2381
CF,F,0.308
CF,F,0.3297
CF,F,0.3462
CF,F,0.2612
CF,F,0.3138
CF,F,0.264
CF,F,0.2473
CF,F,0.2323
CF,F,0.3038
CF,F,0.2159
CF,F,0.3114
CF,F,0.3172
CF,F,0.253
CF,F,0.138
CF,F,0.1614
CF,F,0.3157
CF,F,0.2784
CF,F,0.2191
CF,F,0.2779
CF,F,0.1206
CF,F,0.1695
CF,F,0.1452
CF,F,0.1027
CF,F,0.1585
CF,F,0.1641
CF,F,-0.0071
CF,F,0.2048
CF,F,0.1187
CF,F,0.0999
CF,F,0.184
CF,F,0.1164
CF,F,0.1276
CF,F,0.2074
CF,F,0.0988
CF,F,0.2329
CF,F,0.2989
CF,F,0.2589
CF,F,0.211
CF,F,0.2288
CF,F,0.2069
CF,F,0.1661
CF,F,0.1863
CF,F,0.2541
CF,F,0.2147
CF,F,0.2374
CF,F,0.2483
CF,F,0.1901
CF,F,0.156
CF,F,0.1699
CF,F,0.1998
CF,F,0.1775
CF,F,0.2486
CF,F,0.2094
CF,F,0.1629
CF,F,0.2476
CF,F,0.2181
CF,F,0.1073
CF,F,0.0791
CF,F,0.0982
CF,F,0.1252
CF,F,0.1142
CF,F,0.0836
CF,F,0.0307
CF,F,0.19
CF,F,0.261
CF,F,0.1624
CF,F,0.2626
CF,F,0.3101
CF,F,0.1053
CF,F,0.2333
CF,F,0.2257
CF,F,0.1519
CF,F,0.3577
CF,F,0.1863
CF,F,0.2405
CF,F,0.2377
CF,F,0.0822
CF,F,0.0358
CF,F,0.2303
CF,F,0.2286
CF,F,0.3165
CF,F,0.2064
CF,F,0.1574
CF,F,0.3798
CF,F,0.1239
CF,F,0.036
CF,F,0.1736
CF,F,0.1233
CF,F,0.0154
CF,F,0.0827
CF,F,0.1108
CF,F,-0.0759
CF,F,0.0137
CF,F,0.0867
CF,F,0.0349
CF,F,-0.0262
CF,F,0.2134
CF,F,0.0131
CF,F,0.0575
CF,F,0.3668
CF,F,0.4109
CF,F,0.4038
CF,F,0.3426
CF,F,0.3133
CF,F,0.2895
CF,F,0.2824
CF,F,0.4577
CF,F,0.3378
CF,F,0.3911
CF,F,0.3225
CF,F,0.1787
CF,F,0.105
CF,F,0.1492
CF,F,0.1871
CF,F,0.2099
CF,F,0.2835
CF,F,0.343
CF,F,0.1623
CF,F,0.1437
CF,F,0.1898
CF,F,0.156
CF,F,0.1063
CF,F,0.0834
CF,F,0.1913
CF,F,0.1518
CF,F,0.0553
CF,F,0.1119
CF,F,0.0873
CF,F,0.1684
CF,F,0.0428
CF,F,0.0434
CF,F,0.0534
CF,F,-0.0851
CF,F,0.1321
CF,F,0.1725
CF,F,0.3193
CF,F,0.298
CF,F,0.2981
CF,F,0.2689
CF,F,0.3013
CF,F,0.2534
CF,F,0.2247
CF,F,0.2036
CF,F,0.2287
CF,F,0.2832
CF,F,0.2341
CF,F,0.2586
CF,F,0.159
CF,F,0.1279
CF,F,0.1903
CF,F,0.1171
CF,F,0.2066
CF,F,0.2055
CF,F,0.1347
CF,F,0.1525
CF,F,0.1439
CF,F,0.1641
CF,F,0.1317
CF,F,0.1152
CF,F,0.1773
CF,F,0.1602
CF,F,0.1629
CF,F,0.1417
CF,F,0.11
CF,F,0.1527
CF,F,0.0732
CF,F,0.087
CF,F,0.0313
CF,F,0.0058
CF,F,0.0501
CF,F,0.0256
CF,F,0.2949
CF,F,0.3801
CF,F,0.2877
CF,F,0.3027
CF,F,0.2789
CF,F,0.3197
CF,F,0.2745
CF,F,0.2727
CF,F,0.2937
CF,F,0.2792
CF,F,0.2317
CF,F,0.2798
CF,F,0.1914
CF,F,0.1909
CF,F,0.1977
CF,F,0.1836
CF,F,0.163
CF,F,0.2272
CF,F,0.1979
CF,F,0.1591
CF,F,0.2295
CF,F,0.1992
CF,F,0.1749
CF,F,0.1717
CF,F,0.1123
CF,F,0.1281
CF,F,0.142
CF,F,0.1963
CF,F,0.0657
CF,F,0.086
CF,F,0.0159
CF,F,0.0613
CF,F,0.1132
CF,F,0.1255
CF,F,0.1198
CF,F,0.0605
CF,F,0.279
CF,F,0.275
CF,F,0.319
CF,F,0.2693
CF,F,0.2428
CF,F,0.2629
CF,F,0.2366
CF,F,0.2627
CF,F,0.3066
CF,F,0.2816
CF,F,0.2511
CF,F,0.253
CF,F,0.185
CF,F,0.173
CF,F,0.1956
CF,F,0.1722
CF,F,0.1626
CF,F,0.1926
CF,F,0.2124
CF,F,0.265
CF,F,0.1941
CF,F,0.2052
CF,F,0.1643
CF,F,0.1464
CF,F,0.1037
CF,F,0.0547
CF,F,0.0513
CF,F,0.1026
CF,F,0.041
CF,F,0.0725
CF,F,0.0145
CF,F,0.0363
CF,F,0.0374
CF,F,0.0897
CF,F,0.0478
CF,F,0.0652
CF,F,0.3574
CF,F,0.3518
CF,F,0.3165
CF,F,0.3868
CF,F,0.3141
CF,F,0.3218
CF,F,0.2948
CF,F,0.2566
CF,F,0.2935
CF,F,0.2786
CF,F,0.3038
CF,F,0.3716
CF,F,0.2209
CF,F,0.1938
CF,F,0.1872
CF,F,0.2309
CF,F,0.2646
CF,F,0.1165
CF,F,0.1754
CF,F,0.2589
CF,F,0.1697
CF,F,0.2395
CF,F,0.1973
CF,F,0.1205
CF,F,0.1701
CF,F,0.2016
CF,F,0.2243
CF,F,0.245
CF,F,0.0744
CF,F,0.0739
CF,F,0.1296
CF,F,0.068
CF,F,0.0905
CF,F,0.1691
CF,F,0.1492
CF,F,0.1292
CF,F,0.3105
CF,F,0.3627
CF,F,0.341
CF,F,0.2885
CF,F,0.3148
CF,F,0.2983
CF,F,0.2228
CF,F,0.2349
CF,F,0.1972
CF,F,0.299
CF,F,0.2343
CF,F,0.2613
CF,F,0.2406
CF,F,0.103
CF,F,0.327
CF,F,0.0826
CF,F,0.0669
CF,F,0.1923
CF,F,0.0999
CF,F,0.1898
CF,F,0.1733
CF,F,0.1465
CF,F,0.1162
CF,F,0.1379
CF,F,0.23
CF,F,0.1773
CF,F,0.1257
CF,F,0.144
CF,F,0.0546
CF,F,0.0756
CF,F,0.0889
CF,F,0.0399
CF,F,0.0082
CF,F,0.0832
CF,F,-0.0451
CF,F,0.0323
CF,F,0.2862
CF,F,0.2689
CF,F,0.2435
CF,F,0.2233
CF,F,0.2292
CF,F,0.1998
CF,F,0.1916
CF,F,0.1979
CF,F,0.2498
CF,F,0.2411
CF,F,0.2346
CF,F,0.2003
CF,F,0.1834
CF,F,0.116
CF,F,0.1107
CF,F,0.1233
CF,F,0.2035
CF,F,0.2629
CF,F,0.1846
CF,F,0.208
CF,F,0.1277
CF,F,0.1209
CF,F,0.0887
CF,F,0.1172
CF,F,0.1863
CF,F,0.118
CF,F,0.161
CF,F,0.1738
CF,F,0.0702
CF,F,0.1195
CF,F,0.0528
CF,F,0.0909
CF,F,0.1156
CF,F,-0.0288
CF,F,-0.0448
CF,F,-0.0119
CF,F,0.1278
CF,F,0.2114
CF,F,0.2231
CF,F,0.2355
CF,F,0.1989
CF,F,0.1797
CF,F,0.1881
CF,F,0.1793
CF,F,0.252
CF,F,0.233
CF,F,0.1605
CF,F,0.2447
CF,F,0.0742
CF,F,0.2104
CF,F,0.1218
CF,F,0.1508
CF,F,0.1575
CF,F,0.0971
CF,F,0.1006
CF,F,0.1736
CF,F,0.0644
CF,F,0.1243
CF,F,0.0814
CF,F,0.0987
CF,F,0.065
CF,F,0.1207
CF,F,0.1008
CF,F,0.1239
CF,F,0.0623
CF,F,0.0466
CF,F,0.0524
CF,F,0.0129
CF,F,0.0598
CF,F,0.0219
CF,F,0.0094
CF,F,-0.0212
CF,F,0.3619
CF,F,0.3231
CF,F,0.2864
CF,F,0.2488
CF,F,0.2844
CF,F,0.1781
CF,F,0.1223
CF,F,0.32
CF,F,0.2347
CF,F,0.3431
CF,F,0.3009
CF,F,0.1857
CF,F,0.2244
CF,F,0.1295
CF,F,0.1958
CF,F,0.165
CF,F,0.1966
CF,F,0.2187
CF,F,0.189
CF,F,0.011
CF,F,0.1108
CF,F,0.1235
CF,F,0.1729
CF,F,0.1762
CF,F,0.07
CF,F,0.0608
CF,F,-0.0295
CF,F,0.0808
CF,F,0.0393
CF,F,0.1377
CF,F,0.0463
CF,F,0.0274
CF,F,0.0368
CF,F,0.11
CF,F,-0.0233
CF,F,0.0149
CF,F,0.2071
CF,F,0.2067
CF,F,0.2712
CF,F,0.2829
CF,F,0.2055
CF,F,0.1836
CF,F,0.2396
CF,F,0.1586
CF,F,0.1692
CF,F,0.1603
CF,F,0.1578
CF,F,0.2337
CF,F,0.1518
CF,F,0.0812
CF,F,0.1345
CF,F,0.0944
CF,F,0.1562
CF,F,0.202
CF,F,0.1534
CF,F,0.115
CF,F,0.1062
CF,F,0.0874
CF,F,0.0787
CF,F,0.103
CF,F,0.154
CF,F,0.1374
CF,F,0.1004
CF,F,0.1206
CF,F,-0.0255
CF,F,0.0519
CF,F,0.0722
CF,F,0.0644
CF,F,0.038
CF,F,0.1442
CF,F,-0.0462
CF,F,-0.0386
CF,F,0.2529
CF,F,0.2986
CF,F,0.2407
CF,F,0.2502
CF,F,0.2481
CF,F,0.2359
CF,F,0.1939
CF,F,0.2182
CF,F,0.2652
CF,F,0.2675
CF,F,0.2458
CF,F,0.2186
CF,F,0.161
CF,F,0.1968
CF,F,0.1443
CF,F,0.1765
CF,F,0.1892
CF,F,0.1646
CF,F,0.1485
CF,F,0.2078
CF,F,0.1436
CF,F,0.1468
CF,F,0.1589
CF,F,0.1336
CF,F,0.1984
CF,F,0.1954
CF,F,0.1863
CF,F,0.1779
CF,F,0.0209
CF,F,0.0284
CF,F,0.122
CF,F,0.0703
CF,F,0.1041
CF,F,0.0769
CF,F,0.027
CF,F,0.0795
CF,F,0.2206
CF,F,0.2591
CF,F,0.2401
CF,F,0.2015
CF,F,0.1929
CF,F,0.2403
CF,F,0.1766
CF,F,0.1919
CF,F,0.2471
CF,F,0.258
CF,F,0.2285
CF,F,0.2311
CF,F,0.1674
CF,F,0.1691
CF,F,0.1593
CF,F,0.1218
CF,F,0.1762
CF,F,0.1578
CF,F,0.1492
CF,F,0.1654
CF,F,0.1382
CF,F,0.1524
CF,F,0.1414
CF,F,0.1431
CF,F,0.1085
CF,F,0.0783
CF,F,0.1226
CF,F,0.1951
CF,F,0.035
CF,F,0.0639
CF,F,0.0231
CF,F,0.0101
CF,F,0.0572
CF,F,0.0614
CF,F,-0.0255
CF,F,0.0738
CF,F,0.2755
CF,F,0.2925
CF,F,0.2552
CF,F,0.2441
CF,F,0.304
CF,F,0.2626
CF,F,0.2278
CF,F,0.2585
CF,F,0.2397
CF,F,0.331
CF,F,0.3064
CF,F,0.2868
CF,F,0.2192
CF,F,0.2058
CF,F,0.1787
CF,F,0.1941
CF,F,0.1714
CF,F,0.2177
CF,F,0.186
CF,F,0.178
CF,F,0.1495
CF,F,0.1775
CF,F,0.1922
CF,F,0.1464
CF,F,0.1198
CF,F,0.0552
CF,F,0.1313
CF,F,0.1809
CF,F,-0.0056
CF,F,0.0416
CF,F,0.0521
CF,F,-0.0958
CF,F,0.0861
CF,F,0.0556
CF,F,0.0388
CF,F,-0.0008
CF,F,0.2691
CF,F,0.2848
CF,F,0.2492
CF,F,0.1854
CF,F,0.2057
CF,F,0.2261
CF,F,0.213
CF,F,0.1693
CF,F,0.2542
CF,F,0.229
CF,F,0.2423
CF,F,0.1527
CF,F,0.1319
CF,F,0.1672
CF,F,0.0965
CF,F,0.1403
CF,F,0.147
CF,F,0.2044
CF,F,0.1987
CF,F,0.1215
CF,F,0.1015
CF,F,0.1029
CF,F,0.1117
CF,F,0.0932
CF,F,0.0671
CF,F,0.1696
CF,F,0.1496
CF,F,0.12
CF,F,0.0256
CF,F,0.0093
CF,F,0.0299
CF,F,0.0405
CF,F,-0.0075
CF,F,0.0508
CF,F,-0.0082
CF,F,0.0334
CF,F,0.1971
CF,F,0.1882
CF,F,0.1908
CF,F,0.1977
CF,F,0.1408
CF,F,0.185
CF,F,0.2013
CF,F,0.077
CF,F,0.1655
CF,F,0.1896
CF,F,0.1231
CF,F,0.2014
CF,F,0.1099
CF,F,0.1274
CF,F,0.127
CF,F,0.0718
CF,F,0.1703
CF,F,0.1956
CF,F,0.0571
CF,F,0.1971
CF,F,0.159
CF,F,0.124
CF,F,0.0499
CF,F,0.0446
CF,F,0.1417
CF,F,0.144
CF,F,0.133
CF,F,0.1648
CF,F,0.0304
CF,F,0.0574
CF,F,0.0526
CF,F,-0.0791
CF,F,0.0172
CF,F,-0.0465
CF,F,0.1362
CF,F,0.0038
CF,F,0.2335
CF,F,0.2478
CF,F,0.1521
CF,F,0.2316
CF,F,0.1646
CF,F,0.1852
CF,F,0.1748
CF,F,0.1281
CF,F,0.2461
CF,F,0.3198
CF,F,0.3323
CF,F,0.1496
CF,F,0.2595
CF,F,0.1641
CF,F,0.1534
CF,F,0.1215
CF,F,0.1561
CF,F,0.2555
CF,F,0.2891
CF,F,0.3313
CF,F,0.1291
CF,F,0.1287
CF,F,0.1231
CF,F,0.178
CF,F,0.1272
CF,F,0.2789
CF,F,0.0686
CF,F,0.0703
CF,F,-0.0554
CF,F,0.0792
CF,F,-0.0579
CF,F,-0.0206
CF,F,0.078
CF,F,0.0607
CF,F,0.1266
CF,F,0.1123
CF,F,0.3326
CF,F,0.3324
CF,F,0.2879
CF,F,0.3801
CF,F,0.3208
CF,F,0.3143
CF,F,0.316
CF,F,0.3592
CF,F,0.4451
CF,F,0.3403
CF,F,0.226
CF,F,0.197
CF,F,0.1912
CF,F,0.1808
CF,F,0.1736
CF,F,0.1796
CF,F,0.2756
CF,F,0.1902
CF,F,0.1138
CF,F,0.1323
CF,F,0.3243
CF,F,0.2074
CF,F,0.1245
CF,F,0.1601
CF,F,0.145
CF,F,0.2181
CF,F,0.2675
CF,F,0.1767
CF,F,0.0586
CF,F,0.177
CF,F,0.1608
CF,F,-0.0969
CF,F,0.1555
CF,F,0.0951
CF,F,0.048
CF,F,0.1262
CF,F,0.3234
CF,F,0.24
CF,F,0.3173
CF,F,0.2763
CF,F,0.2581
CF,F,0.2249
CF,F,0.2828
CF,F,0.293
CF,F,0.3018
CF,F,0.2006
CF,F,0.2723
CF,F,0.2747
CF,F,0.2185
CF,F,0.1744
CF,F,0.1496
CF,F,0.1477
CF,F,0.1863
CF,F,0.2119
CF,F,0.1708
CF,F,0.1909
CF,F,0.2023
CF,F,0.1659
CF,F,0.1826
CF,F,0.1557
CF,F,0.2254
CF,F,0.1759
CF,F,0.1959
CF,F,0.2094
CF,F,0.101
CF,F,0.2435
CF,F,0.1571
CF,F,0.1864
CF,F,0.0982
CF,F,0.0817
CF,F,0.0623
CF,F,0.0556
CF,F,0.3459
CF,F,0.3332
CF,F,0.2915
CF,F,0.3677
CF,F,0.2647
CF,F,0.3876
CF,F,0.2635
CF,F,0.288
CF,F,0.3323
CF,F,0.3116
CF,F,0.2607
CF,F,0.3329
CF,F,0.225
CF,F,0.2515
CF,F,0.2222
CF,F,0.2277
CF,F,0.2818
CF,F,0.2779
CF,F,0.2054
CF,F,0.2271
CF,F,0.2007
CF,F,0.2531
CF,F,0.2233
CF,F,0.2075
CF,F,0.1625
CF,F,0.0908
CF,F,0.2027
CF,F,0.1921
CF,F,0.092
CF,F,0.1641
CF,F,0.1341
CF,F,0.0724
CF,F,0.122
CF,F,0.1385
CF,F,0.0883
CF,F,0.0978
CF,F,0.2592
CF,F,0.3086
CF,F,0.253
CF,F,0.2792
CF,F,0.1761
CF,F,0.2986
CF,F,0.2421
CF,F,0.2066
CF,F,0.2704
CF,F,0.2521
CF,F,0.2696
CF,F,0.2916
CF,F,0.2254
CF,F,0.2331
CF,F,0.3201
CF,F,0.2256
CF,F,0.333
CF,F,0.264
CF,F,0.2133
CF,F,0.181
CF,F,0.183
CF,F,0.2554
CF,F,0.2355
CF,F,0.1822
CF,F,0.1755
CF,F,0.1476
CF,F,0.2158
CF,F,0.1507
CF,F,0.0266
CF,F,0.0699
CF,F,0.0819
CF,F,0.0638
CF,F,0.1102
CF,F,0.0275
CF,F,0.0195
CF,F,0.157
CF,F,0.3449
CF,F,0.3683
CF,F,0.3443
CF,F,0.3772
CF,F,0.3205
CF,F,0.367
CF,F,0.3243
CF,F,0.3074
CF,F,0.2592
CF,F,0.2148
CF,F,0.3265
CF,F,0.4497
CF,F,0.2558
CF,F,0.2086
CF,F,0.1692
CF,F,0.1913
CF,F,0.2578
CF,F,0.3724
CF,F,0.2155
CF,F,0.2709
CF,F,0.1652
CF,F,0.1887
CF,F,0.2373
CF,F,0.1873
CF,F,0.2953
CF,F,0.225
CF,F,0.2601
CF,F,0.197
CF,F,0.17
CF,F,0.0202
CF,F,0.0626
CF,F,0.0845
CF,F,0.0551
CF,F,0.071
CF,F,0.117
CF,F,0.065
CF,F,0.2588
CF,F,0.199
CF,F,0.3993
CF,F,0.3208
CF,F,0.2676
CF,F,0.2742
CF,F,0.2641
CF,F,0.278
CF,F,0.2713
CF,F,0.2837
CF,F,0.3033
CF,F,0.3323
CF,F,0.1849
CF,F,0.1665
CF,F,0.1939
CF,F,0.1663
CF,F,0.2876
CF,F,0.1707
CF,F,0.2857
CF,F,0.1838
CF,F,0.1643
CF,F,0.1766
CF,F,0.2701
CF,F,0.2061
CF,F,0.3036
CF,F,0.2548
CF,F,0.2088
CF,F,0.2219
CF,F,0.1451
CF,F,0.0774
CF,F,0.1103
CF,F,0.0959
CF,F,0.1515
CF,F,0.1438
CF,F,0.1666
CF,F,0.075
CF,F,0.2639
CF,F,0.1914
CF,F,0.3033
CF,F,0.2477
CF,F,0.275
CF,F,0.1987
CF,F,0.2465
CF,F,0.2295
CF,F,0.2441
CF,F,0.3011
CF,F,0.2395
CF,F,0.2989
CF,F,0.2033
CF,F,0.1524
CF,F,0.1712
CF,F,0.1246
CF,F,0.2005
CF,F,0.1769
CF,F,0.2115
CF,F,0.2257
CF,F,0.1906
CF,F,0.1855
CF,F,0.1912
CF,F,0.1209
CF,F,0.2117
CF,F,0.2199
CF,F,0.2915
CF,F,0.19
CF,F,0.1401
CF,F,0.1583
CF,F,0.1308
CF,F,0.1306
CF,F,0.072
CF,F,0.1147
CF,F,0.1169
CF,F,0.0673
CF,F,-0.0503
CF,F,-0.1763
CF,F,-0.0067
CF,F,-0.1279
CF,F,0.1408
CF,F,0.1126
CF,F,0.1028
CF,F,0.1635
CF,F,0.2388
CF,F,0.2591
CF,F,0.1968
CF,F,0.2324
CF,F,0.22
CF,F,0.2303
CF,F,0.1873
CF,F,0.2138
CF,F,0.2283
CF,F,0.2719
CF,F,0.2271
CF,F,0.3118
CF,F,0.1836
CF,F,0.2428
CF,F,0.1823
CF,F,0.2505
CF,F,0.2062
CF,F,0.2559
CF,F,0.1861
CF,F,0.2669
CF,F,0.0329
CF,F,0.0454
CF,F,0.0908
CF,F,0.1176
CF,F,-0.0266
CF,F,0.0138
CF,F,-0.0128
CF,F,0.049
CF,F,-0.6816
CF,F,-0.7541
CF,F,-0.9959
CF,F,-0.9525
CF,F,0.0541
CF,F,-0.0171
CF,F,0.0231
CF,F,-0.0323
CF,F,0.2446
CF,F,0.2297
CF,F,0.2206
CF,F,0.1853
CF,F,0.3375
CF,F,0.2836
CF,F,0.3326
CF,F,0.396
CF,F,0.3507
CF,F,0.3766
CF,F,0.3047
CF,F,0.3033
CF,F,0.2461
CF,F,0.2245
CF,F,0.2316
CF,F,0.2746
CF,F,0.286
CF,F,0.2613
CF,F,0.1519
CF,F,0.2404
CF,F,0.1413
CF,F,0.1368
CF,F,0.1294
CF,F,0.2234
CF,F,0.187
CF,F,0.0818
CF,F,0.1894
CF,F,0.1253
CF,F,-0.3799
CF,F,-0.2182
CF,F,-0.3742
CF,F,-0.206
CF,F,0.1025
CF,F,0.1757
CF,F,0.0676
CF,F,0.1634
CF,F,0.1616
CF,F,0.1873
CF,F,0.2219
CF,F,0.2628
CF,F,0.1901
CF,F,0.2032
CF,F,0.225
CF,F,0.1956
CF,F,0.2297
CF,F,0.2576
CF,F,0.2711
CF,F,0.1965
CF,F,0.2104
CF,F,0.1825
CF,F,0.2188
CF,F,0.1989
CF,F,0.1918
CF,F,0.1867
CF,F,0.2457
CF,F,0.2144
CF,F,0.1024
CF,F,0.1074
CF,F,0.1335
CF,F,0.1136
CF,F,0.1344
CF,F,0.1267
CF,F,0.2051
CF,F,0.1638
CF,F,-0.5005
CF,F,-0.7497
CF,F,-0.406
CF,F,-0.6439
CF,F,0.1173
CF,F,0.0458
CF,F,0.1161
CF,F,0.0835
CF,F,0.261
CF,F,0.2747
CF,F,0.2257
CF,F,0.2656
CF,F,0.3139
CF,F,0.3343
CF,F,0.3235
CF,F,0.3383
CF,F,0.3653
CF,F,0.3459
CF,F,0.3559
CF,F,0.3557
CF,F,0.3038
CF,F,0.3138
CF,F,0.3037
CF,F,0.3495
CF,F,0.2069
CF,F,0.2535
CF,F,0.2142
CF,F,0.195
CF,F,0.0566
CF,F,0.1122
CF,F,0.0775
CF,F,0.1562
CF,F,0.125
CF,F,0.1506
CF,F,0.151
CF,F,0.1365
CF,F,-0.2737
CF,F,-0.3953
CF,F,-0.1725
