type,method,difference
CF,D,0.2728
CF,D,0.085
CF,D,0.1236
CF,D,0.2232
CF,D,0.1137
CF,D,0.3176
CF,D,0.257
CF,D,0.2996
CF,D,0.2714
CF,D,0.2701
CF,D,0.2293
CF,D,0.3142
CF,D,0.3312
CF,D,0.267
CF,D,0.3056
CF,D,0.2059
CF,D,0.2603
CF,D,0.2013
CF,D,0.2177
CF,D,0.2124
CF,D,0.2214
CF,D,0.1934
CF,D,0.2263
CF,D,0.1734
CF,D,0.1774
CF,D,0.1365
CF,D,0.1868
CF,D,0.1601
CF,D,0.162
CF,D,0.1076
CF,D,0.2053
CF,D,0.0958
CF,D,0.1291
CF,D,0.109
CF,D,0.0808
CF,D,0.0838
CF,D,0.1635
CF,D,0.1068
CF,D,0.1062
CF,D,0.2413
CF,D,0.2708
CF,D,0.2612
CF,D,0.3088
CF,D,0.2241
CF,D,0.296
CF,D,0.2027
CF,D,0.2906
CF,D,0.3001
CF,D,0.2767
CF,D,0.2244
CF,D,0.2759
CF,D,0.1996
CF,D,0.198
CF,D,0.1597
CF,D,0.175
CF,D,0.1913
CF,D,0.2862
CF,D,0.2267
CF,D,0.2053
CF,D,0.1784
CF,D,0.1627
CF,D,0.1917
CF,D,0.1367
CF,D,0.1622
CF,D,0.1298
CF,D,0.0779
CF,D,0.1479
CF,D,0.077
CF,D,0.1063
CF,D,0.031
CF,D,0.0776
CF,D,0.0623
CF,D,0.0499
CF,D,0.0541
CF,D,0.1061
CF,D,0.024
CF,D,0.0479
CF,D,0.3076
CF,D,0.148
CF,D,0.3953
CF,D,0.2961
CF,D,0.365
CF,D,0.2994
CF,D,0.3913
CF,D,0.2705
CF,D,0.2915
CF,D,0.1973
CF,D,0.2172
CF,D,0.1821
CF,D,0.2019
CF,D,0.1909
CF,D,0.2727
CF,D,0.3342
CF,D,0.1925
CF,D,0.11
CF,D,0.2296
CF,D,0.1447
CF,D,0.1558
CF,D,0.114
CF,D,0.2896
CF,D,0.3183
CF,D,0.317
CF,D,0.2634
CF,D,0.1134
CF,D,0.1718
CF,D,0.1045
CF,D,0.1209
CF,D,0.0902
CF,D,0.1119
CF,D,0.12
CF,D,0.1367
CF,D,-0.1472
CF,D,-0.1842
CF,D,-0.0648
CF,D,-0.0089
CF,D,0.2623
CF,D,0.286
CF,D,0.1986
CF,D,0.2354
CF,D,0.2157
CF,D,0.3013
CF,D,0.2906
CF,D,0.3348
CF,D,0.1775
CF,D,0.2322
CF,D,0.1716
CF,D,0.1542
CF,D,0.146
CF,D,0.213
CF,D,0.1225
CF,D,0.2143
CF,D,0.2322
CF,D,0.1621
CF,D,0.0457
CF,D,0.0653
CF,D,0.2301
CF,D,0.1886
CF,D,0.1284
CF,D,0.1844
CF,D,0.1098
CF,D,0.1564
CF,D,0.1197
CF,D,0.0778
CF,D,0.158
CF,D,0.1634
CF,D,-0.0072
CF,D,0.2039
CF,D,0.1937
CF,D,0.2013
CF,D,0.1885
CF,D,0.1581
CF,D,0.1972
CF,D,0.2834
CF,D,0.1237
CF,D,0.2672
CF,D,0.2776
CF,D,0.2339
CF,D,0.164
CF,D,0.1907
CF,D,0.1494
CF,D,0.1298
CF,D,0.105
CF,D,0.1868
CF,D,0.1318
CF,D,0.164
CF,D,0.1601
CF,D,0.1034
CF,D,0.0568
CF,D,0.0793
CF,D,0.102
CF,D,0.0823
CF,D,0.1557
CF,D,0.1161
CF,D,0.0647
CF,D,0.1511
CF,D,0.1523
CF,D,0.0258
CF,D,0.0118
CF,D,0.0291
CF,D,0.1158
CF,D,0.0952
CF,D,0.0719
CF,D,0.0232
CF,D,0.1055
CF,D,0.1565
CF,D,0.0477
CF,D,0.1327
CF,D,0.2216
