1,151,464,50
2,147,464,155
3,156,558,155
4,160,557,50
5,222,465,50
6,221,465,154
7,232,550,154
8,232,550,50
9,140,464,274
10,156,559,276
11,221,464,277
12,231,550,277
13,127,464,395
14,137,565,397
15,221,464,399
16,231,550,399
17,153,463,522
18,157,559,522
19,221,463,522
20,231,550,522
21,208,647,50
22,203,651,155
23,261,731,155
24,267,725,50
25,270,641,50
26,270,641,154
27,306,705,154
28,306,705,50
29,205,650,279
30,265,725,280
31,270,640,277
32,306,705,277
33,186,663,397
34,251,738,399
35,270,640,399
36,306,705,399
37,196,658,522
38,249,739,522
39,270,640,522
40,306,705,522
41,205,289,50
42,201,287,155
43,165,379,154
44,168,381,50
45,277,290,50
46,277,289,154
47,245,381,154
48,245,381,50
49,204,288,276
50,161,378,275
51,278,289,277
52,245,380,277
53,196,280,398
54,146,371,397
55,278,288,399
56,245,380,399
57,205,288,522
58,165,379,522
59,279,287,522
60,244,380,522
61,281,207,50
62,273,198,159
63,317,226,50
64,316,227,154
65,285,211,277
66,315,227,277
67,277,202,399
68,314,227,399
69,279,204,522
70,313,228,522
71,579,83,50
72,579,63,160
73,559,158,154
74,558,158,50
75,672,71,50
76,670,57,157
77,639,159,154
78,639,159,50
79,580,85,277
80,559,159,277
81,672,73,277
82,640,159,277
83,577,66,397
84,560,159,399
85,669,53,395
86,640,158,399
87,579,74,522
88,560,159,522
89,670,62,522
90,640,158,522
91,500,463,50
92,500,462,154
93,510,569,154
94,510,569,50
95,606,461,50
96,606,460,154
97,609,567,154
98,609,566,50
99,500,462,277
100,510,570,277
101,607,460,277
102,609,567,277
103,500,462,399
104,510,570,399
105,607,459,399
106,608,568,399
107,499,462,522
108,511,570,522
109,607,459,522
110,608,569,522
111,525,663,50
112,525,663,154
113,546,757,154
114,546,757,50
115,616,659,50
116,615,658,154
117,633,752,154
118,633,753,50
119,525,662,277
120,545,756,277
121,615,658,277
122,632,752,277
123,524,662,399
124,545,756,399
125,615,657,399
126,632,752,399
