"","name","time_consume","consistency","efficacy","ontime_rate","request_N"
"1","Allston / Brighton",10.3838454151518,26.6231938506776,0.832499608450287,0.849730087033161,9077
"2","Back Bay",8.50521188811442,23.182629439323,0.808478685994926,0.813171780340043,5117
"3","Beacon Hill",6.06250696504674,18.5417296979424,0.643838876524468,0.835028607755881,3146
"4","Charlestown",10.1247245705477,26.4674600523007,0.773648872063327,0.824053452115813,3592
"5","Dorchester",8.61989624164722,23.1817307457804,0.767160668181084,0.859130859375,16384
"6","Downtown / Financial District",7.49286164797625,21.7502697909781,0.796459130615698,0.800104588835142,7649
"7","East Boston",8.48825321553293,24.353196872054,0.831153782774344,0.848458019772761,6777
"8","Fenway / Kenmore / Audubon Circle / Longwood",9.53186292147545,23.6559025389478,0.805063479703923,0.845213849287169,2455
"9","Hyde Park",7.36569220670542,23.388628245443,0.886516708814518,0.897182583241859,5466
"10","Jamaica Plain",8.04445156606724,22.7287400294375,0.856655570964664,0.859626059012562,6846
"11","Mattapan",9.4069506012951,25.9296743835099,0.918977436382671,0.852358926919519,5405
"12","Mission Hill",8.5993364877904,23.8403209909029,0.989956856480252,0.869739478957916,1996
"13","Roslindale",6.80422938514475,20.1544072860442,0.573814729909487,0.883102115078463,4397
"14","Roxbury",8.99926610736718,26.2912387268886,1.08035196510427,0.849876330788257,9299
"15","South Boston / South Boston Waterfront",10.3799316950827,27.6952822136893,0.624559514836525,0.822147215370635,7703
"16","South End",10.789810572858,28.714150031081,0.744563548044587,0.833186425738211,4538
"17","West Roxbury",9.40798716267126,27.170110805369,0.740083479123532,0.89772303098171,5358
