,Enforcement & Abandoned Vehicles,Signs & Signals
Allston / Brighton,337,863
Back Bay,87,400
Beacon Hill,36,118
Charlestown,90,148
Dorchester,563,647
Downtown / Financial District,164,836
East Boston,199,281
Fenway / Kenmore / Audubon Circle / Longwood,39,282
Hyde Park,135,187
Jamaica Plain,210,432
Mattapan,194,294
Mission Hill,53,128
Roslindale,147,310
Roxbury,335,531
South Boston / South Boston Waterfront,350,354
South End,113,157
West Roxbury,61,186
